"Reference","Value","Footprint","Datasheet","Qty","DNP"
"C1","16V 1000uF","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm","~","1",""
"J1","Reed Sensor Oben","digikey-footprints:PinHeader_1x2_P2.54mm","https://cdn.harwin.com/pdfs/M20-999.pdf","1",""
"J2","Reed Sensor Unten","digikey-footprints:PinHeader_1x2_P2.54mm","https://cdn.harwin.com/pdfs/M20-999.pdf","1",""
"J3","Tor Taster","digikey-footprints:PinHeader_1x2_P2.54mm","https://cdn.harwin.com/pdfs/M20-999.pdf","1",""
"J4","LED-Stripe","terminalblocks:TerminalBlock_Altech_AK300-3_P5.00mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640456&DocType=Customer+Drawing&DocLang=English","1",""
"J5","Relais","digikey-footprints:PinHeader_1x3_P2.54_Drill1.1mm","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=640456&DocType=Customer+Drawing&DocLang=English","1",""
"J6","5V In","terminalblocks:TerminalBlock_Altech_AK300-2_P5.00mm","https://cdn.harwin.com/pdfs/M20-999.pdf","1",""
"J7","Pinout","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm","~","1",""
"J8","TX/RX","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","https://media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/A-6373-N_Series_Dwg_2010-12-03.pdf","1",""
"R1,R2,R3","10k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","3",""
"R4","62","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1",""
"U1","4ch_levelshifter_bidir_BOB-12009","levelshifter:levelshifter_BOB12009","","1",""
"U2","WeMos_D1_mini","wemos-d1-mini:wemos-d1-mini-with-pin-header","https://wiki.wemos.cc/products:d1:d1_mini#documentation","1",""
