"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"BT1","Battery 1","Battery:BatteryHolder_MPD_BH-18650-PC2","~","1","","",""
"BT2","Battery 2","Battery:BatteryHolder_MPD_BH-18650-PC2","~","1","","",""
"D1","Solar Status LED","LED_SMD:LED_0805_2012Metric","~","1","","",""
"D2","5V Out Status LED","LED_SMD:LED_0805_2012Metric","~","1","","",""
"D3,D4,D5","SS54","digikey-footprints:DO-214AC","https://www.onsemi.com/pub/Collateral/SS19-D.PDF","3","","",""
"F1","Fuse Sockel","Fuse:Fuseholder_Clip-5x20mm_Keystone_3512_Inline_P23.62x7.27mm_D1.02x1.57mm_Horizontal","~","1","","",""
"J1","Solarpanel 1","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~","1","","",""
"J2","Solarpanel 2","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~","1","","",""
"J3","Solarpanel 3","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~","1","","",""
"J4","Solarpanel 4","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~","1","","",""
"J5","Solarpanel 5","TerminalBlock:TerminalBlock_Altech_AK300-2_P5.00mm","~","1","","",""
"J6","TPS61023 Boost Up 5V","pico-skidi:TPS61023","https://www.molex.com/pdm_docs/sd/022232041_sd.pdf","1","","",""
"J7","Power Output","TerminalBlock:TerminalBlock_Altech_AK300-3_P5.00mm","~","1","","",""
"JP1","TPS EN High Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://media.digikey.com/pdf/Data%20Sheets/Molex%20PDFs/A-6373-N_Series_Dwg_2010-12-03.pdf","1","","",""
"PS1","TP4056","TP4056-18650-master:TP4056-18650","","1","","",""
"R1,R2","2,2K","Resistor_SMD:R_1206_3216Metric","~","2","","",""
